HID;PID;TIME_PERIOD;REF_AREA;DIARY;DDV1;DDV1A;DDV2;DDV3;DDV4;DDV5A;DDV5B;DDV5C;DDV5D;DDV5E;DDV6;DDV7;DDV8A;DDV8B;WGHT1;DATA_COLLECTION_MODE
10800;1;2020;AT;1;5;1;28;4;2022;615;361;111;3;1;1;1;1;-1;342,6732211758560;1
10800;1;2020;AT;2;7;2;30;4;2022;39;311;311;3;2;1;3;1;-1;159,9141698820660;1
10800;2;2020;AT;1;5;1;28;4;2022;613;631;631;1;2;2;-1;2;100;342,6732211758560;1
10800;2;2020;AT;2;7;2;30;4;2022;311;321;321;1;2;2;-1;1;-1;159,9141698820660;1
10802;1;2020;AT;1;5;1;2;6;2022;21;910;910;1;2;1;1;2;50;1415,0807375269801;1
10802;1;2020;AT;2;1;2;5;6;2022;31;312;324;1;2;1;3;1;-1;660,3710108459260;1
10802;2;2020;AT;1;5;2;16;6;2022;511;321;514;3;2;1;3;1;-1;1037,7258741864500;1
10802;2;2020;AT;2;1;2;5;6;2022;519;321;900;3;2;1;3;2;80;1037,7258741864500;1
10807;1;2020;AT;1;2;1;27;6;2022;529;331;111;2;1;1;1;1;-1;335,5857280949240;1
10807;1;2020;AT;2;5;1;30;6;2022;21;111;910;2;1;1;1;1;-1;335,5857280949240;1
10807;2;2020;AT;1;2;1;27;6;2022;519;111;111;2;1;1;1;1;-1;335,5857280949240;1
10807;2;2020;AT;2;5;1;30;6;2022;21;910;111;2;1;1;1;1;-1;335,5857280949240;1
10814;1;2020;AT;1;4;1;6;7;2022;432;940;111;3;1;1;1;2;200;497,5779451483240;1
10814;1;2020;AT;2;1;2;10;7;2022;432;960;432;1;1;1;3;2;20;232,2030410692180;1
10814;2;2020;AT;1;4;1;6;7;2022;432;111;111;2;1;1;1;1;-1;497,5779451483240;1
10814;2;2020;AT;2;1;2;10;7;2022;432;960;21;1;1;1;3;2;20;232,2030410692180;1
10819;1;2020;AT;1;4;1;1;6;2022;21;111;111;3;1;1;1;1;-1;799,8645414649960;1
10819;1;2020;AT;2;7;2;11;6;2022;21;352;352;3;1;1;6;1;-1;373,2701193503320;1
10819;2;2020;AT;1;4;1;1;6;2022;383;111;910;3;1;1;1;1;-1;799,8645414649960;1
10819;2;2020;AT;2;7;2;11;6;2022;531;324;361;1;1;1;6;1;-1;373,2701193503320;1
10881;1;2020;AT;1;2;1;25;4;2022;211;212;311;1;1;2;-1;1;-1;362,2851728306120;1
10881;1;2020;AT;2;1;2;1;5;2022;529;32;32;3;2;2;-1;1;-1;169,0664139876190;1
10881;2;2020;AT;1;2;1;25;4;2022;511;324;111;3;1;1;1;1;-1;362,2851728306120;1
10881;2;2020;AT;2;1;2;1;5;2022;39;529;711;3;2;1;3;2;120;169,0664139876190;1
10895;1;2020;AT;1;5;1;12;5;2022;811;424;940;3;1;2;-1;1;-1;558,9533745310530;1
10895;1;2020;AT;2;7;2;14;5;2022;811;354;811;3;1;2;-1;2;45;260,8449081144910;1
10895;2;2020;AT;1;5;1;12;5;2022;21;312;341;3;1;2;-1;1;-1;558,9533745310530;1
10895;2;2020;AT;2;7;2;14;5;2022;613;11;311;3;1;2;-1;2;45;260,8449081144910;1
10897;1;2020;AT;1;2;2;6;6;2022;732;361;361;1;2;2;-1;2;15;254,8400244402790;1
10897;1;2020;AT;2;4;1;8;6;2022;512;321;515;1;2;2;-1;2;15;546,0857666577410;1
10897;2;2020;AT;1;2;2;6;6;2022;341;950;311;1;2;2;-1;2;15;254,8400244402790;1
10897;2;2020;AT;2;4;1;8;6;2022;512;821;311;1;2;2;-1;2;15;546,0857666577410;1
10900;1;2020;AT;1;3;1;28;6;2022;-9;-9;-9;2;1;2;-1;1;-1;1276,6506990081100;2
10900;1;2020;AT;2;7;2;2;7;2022;613;-9;-9;1;2;2;-1;2;150;595,7703262037850;2
10900;2;2020;AT;1;3;1;28;6;2022;-9;-9;-9;-8;-8;2;-1;-9;-1;1276,6506990081100;2
10900;2;2020;AT;2;7;2;2;7;2022;616;321;-9;2;2;2;-1;1;-1;595,7703262037850;2
10904;1;2020;AT;1;5;1;9;6;2022;21;32;341;2;1;2;-1;1;-1;690,4784241935520;2
10904;1;2020;AT;2;1;2;12;6;2022;-9;-9;-9;1;2;2;-1;1;-1;322,2232646236580;2
10904;2;2020;AT;1;5;1;9;6;2022;616;910;111;3;1;1;1;1;-1;690,4784241935520;2
10904;2;2020;AT;2;1;2;12;6;2022;519;-9;-9;1;2;1;6;1;-1;322,2232646236580;2
10921;1;2020;AT;1;3;1;26;4;2022;812;111;910;3;1;1;1;1;-1;563,3567184830860;1
10921;1;2020;AT;2;1;2;1;5;2022;732;300;311;1;1;1;3;1;-1;262,8998019587730;1
10921;2;2020;AT;1;3;1;26;4;2022;619;910;111;3;1;1;1;1;-1;563,3567184830860;1
10921;2;2020;AT;2;1;2;1;5;2022;732;950;950;1;1;1;3;1;-1;262,8998019587730;1
10957;1;2020;AT;1;6;1;12;8;2022;341;-9;-9;1;-8;1;6;-9;-1;1422,9207286916201;2
10957;1;2020;AT;2;7;2;13;8;2022;21;332;-9;1;2;1;3;-9;-1;664,0296733894240;2
10957;2;2020;AT;1;6;1;12;8;2022;-9;111;-9;3;1;1;1;-9;-1;1422,9207286916201;2
10957;2;2020;AT;2;7;2;13;8;2022;21;111;-9;1;2;1;3;1;-1;664,0296733894240;2
10967;1;2020;AT;1;3;1;24;5;2022;612;321;111;3;1;1;1;1;-1;491,3360283755860;1
